id,Minorista,Minorista_ID,Fecha_Venta,Region,Estado,Ciudad,Producto,Precio_por_Unidad,Unidades_Vendidas,Total_Ventas,Ganancia_Operativa,Metodo_Venta
23,Plaza Sport,1185732,2024-11-07,Andina,Tolima,Honda,Calzado deportivo para mujer,171400.0,400,3200000,512606.31,In-store
24,Plaza Sport,1185732,2025-03-09,Andina,Tolima,Honda,Calzado deportivo para hombre,171400.0,400,3200000,786170.4,In-store
25,Plaza Sport,1185732,2025-04-09,Andina,Tolima,Honda,Calzado deportivo para hombre,171400.0,400,3200000,505033.09,In-store
26,Éxito,1185732,2025-02-12,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,171400.0,400,3200000,742654.27,Online
27,Decathlon,,2024-07-20,Caribe,Magdalena,Santa Marta,Calzado urbano para mujer,128600.0,400,2400000,496629.07,Online
28,Nike Store,1185732,2023-08-01,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,402900.0,400,7520000,1416809.52,Outlet
29,Nike Store,,2023-06-23,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,342900.0,390,6084000,1041831.87,Outlet
30,Nike Store,1185732,2023-06-05,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,282900.0,388,4967952,1246905.17,Outlet
31,Nike Store,1185732,2023-05-30,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,291400.0,384,5013504,758167.61,Outlet
32,Nike Store,1185732,2024-07-06,Andina,Cundinamarca,Soacha,Calzado urbano para hombre,265700.0,NaN,NaN,802710.32,Outlet
33,Decathlon,1197831,2025-01-18,Andina,Tolima,Ibagué,Calzado deportivo para mujer,171400.0,375,2812500,568421.39,Outlet
34,Nike Store,1185732,2024-07-17,Andina,Boyacá,Tunja,Calzado urbano para mujer,171400.0,375,2812500,565477.1,In-store
35,Plaza Sport,1185732,2025-01-07,Andina,Tolima,Honda,Calzado deportivo para mujer,171400.0,375,2812500,700246.33,In-store
36,Plaza Sport,1185732,2025-04-09,Andina,Tolima,Honda,Calzado deportivo para mujer,171400.0,375,2812500,454800.35,In-store
37,Nike Store,1185732,2024-09-13,Caribe,Magdalena,Santa Marta,Calzado urbano para mujer,128600.0,375,2109375,509634.57,Online
38,Plaza Sport,1197831,2025-04-18,Pacífica,Nariño,Pasto,Calzado deportivo para hombre,128600.0,375,2109375,512372.1,Online
39,Plaza Sport,1197831,2024-06-21,Pacífica,Nariño,Pasto,Calzado urbano para mujer,128600.0,375,2109375,484519.28,Online
40,Nike Store,1185732,2023-08-13,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,351400.0,375,5765625,921249.85,Outlet
41,Éxito,1197831,2024-01-23,Caribe,Atlántico,Soledad,Calzado urbano para mujer,248600.0,374,4056404,729429.75,Outlet
42,Éxito,1197831,2024-01-29,Caribe,Atlántico,Soledad,Calzado urbano para mujer,248600.0,374,4056404,648048.44,Outlet
43,Nike Store,1185732,2023-06-29,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,282900.0,372,4566672,1001614.58,Outlet
44,Nike Store,1185732,2023-07-05,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,377100.0,366,5894064,1458067.63,Outlet
45,Éxito,1185732,2023-09-16,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,480000.0,360,7257600,1516118.23,Online
46,Nike Store,1185732,2023-08-14,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,317100.0,359,4768597,726576.19,Outlet
47,Éxito,1185732,2023-09-15,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,411400.0,355,6049200,1240884.7,Outlet
48,Nike Store,1185732,2023-06-23,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,394300.0,354,5764536,1144603.76,Online
49,Nike Store,1185732,2023-08-12,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,402900.0,352,5823488,1324271.25,Outlet
50,Nike Store,1185732,2024-08-13,Andina,Santander,Bucaramanga,Calzado urbano para mujer,214300.0,350,3062500,524697.99,In-store
51,Nike Store,1185732,2024-11-14,Andina,Santander,Bucaramanga,Calzado deportivo para mujer,214300.0,350,3062500,748611.59,In-store
52,Nike Store,1185732,2025-03-16,Andina,Santander,Bucaramanga,Calzado deportivo para hombre,214300.0,350,3062500,698963.96,In-store
53,Nike Store,1185732,2025-04-16,Andina,Santander,Bucaramanga,Calzado deportivo para hombre,214300.0,350,3062500,789610.06,In-store
54,Plaza Sport,1185732,2024-10-08,Andina,Tolima,Honda,Calzado urbano para mujer,214300.0,350,3062500,718033.44,In-store
55,Plaza Sport,1185732,2025-02-08,Andina,Tolima,Honda,Calzado urbano para mujer,85700.0,350,1225000,304784.81,In-store
56,Mercado Libre,1185732,2024-09-06,Andina,Risaralda,Pereira,Calzado deportivo para mujer,214300.0,350,3062500,522584.79,Online
57,Éxito,1185732,2025-03-16,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,214300.0,350,3062500,541412.88,Online
58,Decathlon,1197831,2024-07-20,Caribe,Magdalena,Santa Marta,Calzado deportivo para hombre,214300.0,350,3062500,679935.07,Online
59,Éxito,1197831,2024-08-15,Pacífica,Nariño,Pasto,Calzado urbano para mujer,85700.0,350,1225000,256924.68,Online
60,Éxito,1197831,2024-08-15,Pacífica,Nariño,Pasto,Ropa de mujer,214300.0,350,3062500,712378.3,Online
61,Éxito,1197831,2025-02-15,Pacífica,Nariño,Pasto,Calzado urbano para mujer,128600.0,350,1837500,301098.85,Online
62,Plaza Sport,1197831,2024-07-20,Andina,Huila,Neiva,Ropa de mujer,171400.0,350,2450000,469117.75,Online
63,Plaza Sport,1197831,2025-03-19,Andina,Huila,Neiva,Calzado deportivo para hombre,171400.0,350,2450000,504193.35,Online
64,Falabella,1197831,2024-06-14,Andina,Huila,Neiva,Calzado deportivo para hombre,214300.0,350,3062500,595766.89,Online
65,Falabella,1197831,2024-06-14,Andina,Huila,Neiva,Calzado urbano para mujer,128600.0,350,1837500,377240.64,Online
66,Falabella,1197831,2024-06-14,Andina,Huila,Neiva,Ropa de mujer,214300.0,350,3062500,560121.32,Online
67,Plaza Sport,1185732,2024-07-16,Andina,Norte de Santander,Cúcuta,Ropa de mujer,214300.0,350,3062500,791903.41,In-store
68,Nike Store,,2023-06-01,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,274300.0,350,3920000,604515.98,Outlet
69,Nike Store,1185732,2023-06-22,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,308600.0,350,4410000,773179.68,Outlet
70,Éxito,1185732,2023-09-17,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,368600.0,350,5267500,811095.81,Outlet
71,Éxito,1185732,2023-09-21,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,385700.0,350,5512500,1124182.22,Outlet
72,Éxito,,2024-01-20,Caribe,Atlántico,Soledad,Ropa de mujer,325700.0,350,4655000,873850.13,Outlet
73,Nike Store,1185732,2024-06-07,Andina,Cundinamarca,Soacha,Calzado urbano para hombre,222900.0,349,3166826,559941.34,Outlet
74,Nike Store,1185732,2023-08-06,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,394300.0,347,5538814,946609.41,Outlet
75,Plaza Sport,1185732,2025-04-09,Andina,Tolima,Honda,Calzado urbano para mujer,171400.0,345,2380500,414396.26,In-store
76,Plaza Sport,1128299,2024-06-04,Pacífica,Valle del Cauca,Cali,Calzado urbano para hombre,351400.0,341,4767521,990134.91,Outlet
77,Nike Store,1185732,2023-08-02,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,351400.0,340,4739600,1214183.3,Outlet
78,Éxito,1185732,2023-12-15,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,411400.0,340,5548800,986809.73,Outlet
79,Plaza Sport,1128299,2024-06-10,Pacífica,Valle del Cauca,Cali,Calzado urbano para hombre,351400.0,338,4684004,893121.25,Outlet
80,Nike Store,,2023-05-30,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,402900.0,336,5306112,848169.73,Online
81,Nike Store,1185732,2023-07-04,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,334300.0,333,4324671,809639.88,Outlet
82,Éxito,1185732,2023-10-02,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,360000.0,333,4657338,915297.39,Outlet
83,Éxito,1197831,2024-03-24,Caribe,Atlántico,Soledad,Calzado urbano para hombre,274300.0,333,3548448,571291.02,Outlet
84,Éxito,1197831,2024-03-25,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,291400.0,333,3770226,661309.42,Outlet
85,Plaza Sport,1128299,2024-07-11,Pacífica,Valle del Cauca,Cali,Calzado deportivo para hombre,394300.0,332,5070304,1237272.43,Outlet
86,Decathlon,1197831,2025-02-20,Andina,Antioquia,Medellín,Calzado urbano para mujer,300000.0,332,3857840,825219.93,Outlet
87,Nike Store,1185732,2023-06-04,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,325700.0,330,4138200,775772.91,NULL
88,Éxito,1185732,2023-09-23,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,428600.0,330,5445000,1391794.27,Outlet
89,Nike Store,1185732,2025-01-02,Caribe,Sucre,Sincelejo,Calzado urbano para hombre,531400.0,326,6589112,1552718.96,Online
90,Nike Store,1185732,2025-01-14,Andina,Santander,Bucaramanga,Calzado deportivo para mujer,214300.0,325,2640625,399836.04,In-store
91,Nike Store,1185732,2025-04-16,Andina,Santander,Bucaramanga,Calzado deportivo para mujer,214300.0,325,2640625,607709.22,In-store
92,Plaza Sport,1185732,2024-06-09,Andina,Santander,Bucaramanga,Calzado deportivo para mujer,171400.0,325,2112500,457230.37,In-store
93,Plaza Sport,1185732,2024-09-07,Andina,Tolima,Honda,Calzado deportivo para hombre,214300.0,325,2640625,638468.45,In-store
94,Plaza Sport,1185732,2024-09-07,Andina,Tolima,Honda,Calzado urbano para mujer,128600.0,325,1584375,300418.25,In-store
95,Plaza Sport,1185732,2025-02-08,Andina,Tolima,Honda,Calzado deportivo para mujer,85700.0,325,1056250,192982.05,In-store
96,Plaza Sport,1185732,2025-02-08,Andina,Tolima,Honda,Ropa de hombre,171400.0,325,2112500,411272.48,In-store
97,Mercado Libre,1185732,2024-08-05,Andina,Risaralda,Pereira,Calzado deportivo para mujer,214300.0,325,2640625,436525.13,Online
98,Nike Store,1185732,2024-07-17,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,214300.0,325,2640625,534728.85,Online
99,Éxito,,2024-08-15,Pacífica,Nariño,Pasto,Calzado deportivo para hombre,171400.0,325,2112500,542005.11,Online
100,Éxito,1197831,2025-02-15,Pacífica,Nariño,Pasto,Calzado deportivo para mujer,128600.0,325,1584375,309507.23,Online
101,Éxito,1197831,2025-02-15,Pacífica,Nariño,Pasto,Ropa de hombre,214300.0,325,2640625,441082.78,Online
102,Plaza Sport,1197831,2024-07-20,Pacífica,Nariño,Pasto,Calzado urbano para mujer,128600.0,325,1584375,331351.65,Online
103,Falabella,1197831,2024-07-13,Andina,Quindío,Armenia,Ropa de mujer,171400.0,325,2112500,368787.32,Online
104,Falabella,1197831,2025-03-12,Andina,Quindío,Armenia,Calzado deportivo para hombre,171400.0,325,2112500,434030.01,Online
105,Plaza Sport,1185732,2024-08-12,Andina,Norte de Santander,Cúcuta,Calzado urbano para mujer,171400.0,325,2112500,514538.11,In-store
106,Nike Store,1185732,2023-08-13,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,497100.0,325,6126250,1418028.96,Online
107,Nike Store,,2023-08-28,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para mujer,342900.0,324,4199040,699700.62,Outlet
108,Decathlon,1185732,2023-10-21,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,540000.0,323,6572727,1372150.66,Online
109,Nike Store,1185732,2023-06-19,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,274300.0,323,3338528,580640.17,Outlet
110,Nike Store,1185732,2023-06-28,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,308600.0,323,3755844,763608.93,Outlet
111,Éxito,1197831,2024-01-16,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,282900.0,323,3442857,808375.94,Outlet
112,Éxito,1185732,2023-09-29,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,454300.0,322,5495252,1066372.24,Outlet
113,Plaza Sport,1128299,2024-07-10,Pacífica,Valle del Cauca,Cali,Calzado urbano para hombre,342900.0,322,4147360,936776.29,Outlet
114,Decathlon,1197831,2025-02-14,Andina,Antioquia,Medellín,Calzado urbano para mujer,282900.0,322,3421572,606317.72,Outlet
115,Decathlon,1197831,2024-09-13,Andina,Tolima,Espinal,Calzado urbano para mujer,257100.0,322,3110520,523822.2,Outlet
116,Decathlon,1197831,2025-02-04,Andina,Tolima,Ibagué,Calzado urbano para mujer,265700.0,322,3214204,515570.54,Outlet
117,Plaza Sport,1197831,2025-04-18,Pacífica,Nariño,Pasto,Calzado urbano para mujer,214300.0,320,2560000,657430.39,Online
118,Nike Store,1185732,2023-05-31,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,308600.0,320,3686400,784585.14,Outlet
119,Nike Store,1185732,2023-07-31,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,377100.0,320,4505600,1143230.48,Outlet
120,Nike Store,1185732,2023-08-07,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,505700.0,319,6003899,901667.22,Online
121,Éxito,,2024-01-23,Caribe,Atlántico,Soledad,Calzado urbano para mujer,317100.0,319,3765157,638928.39,Online
122,Nike Store,1185732,2024-01-09,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,368600.0,319,4375723,1084891.64,Online
123,Nike Store,1185732,2023-08-08,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,351400.0,318,4146084,1038951.63,Outlet
124,Nike Store,1185732,2023-07-05,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,462900.0,317,5426406,1351872.17,Online
125,Nike Store,1185732,2023-06-06,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,334300.0,315,3869775,905076.76,Outlet
126,Nike Store,,2023-06-24,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,300000.0,315,3472875,562718.38,Outlet
127,Nike Store,,2023-06-30,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,300000.0,315,3472875,619948.06,Outlet
128,Nike Store,1185732,2023-07-01,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,240000.0,315,2778300,712523.12,Outlet
129,Éxito,1185732,2023-09-18,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,308600.0,315,3572100,559984.22,Outlet
130,Éxito,1185732,2023-09-20,Andina,Cundinamarca,Bogotá D.C.,Ropa de hombre,377100.0,315,4365900,848950.21,Outlet
131,Éxito,1197831,2024-01-09,Caribe,Atlántico,Soledad,Calzado urbano para hombre,205700.0,315,2381400,576186.33,Outlet
132,Éxito,,2024-02-04,Caribe,Atlántico,Soledad,Calzado urbano para mujer,308600.0,315,3572100,915933.58,Outlet
133,Falabella,1189833,2024-10-21,Andina,Antioquia,Bello,Calzado urbano para hombre,334300.0,315,3869775,720581.83,Outlet
134,Nike Store,1185732,2023-06-25,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,231400.0,314,2662092,617069.78,Outlet
135,Nike Store,,2023-08-15,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,317100.0,314,3648052,840405.59,Outlet
136,Decathlon,1197831,2024-09-19,Andina,Tolima,Espinal,Calzado urbano para mujer,334300.0,314,3845244,755432.09,Outlet
137,Nike Store,1185732,2023-06-05,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,394300.0,313,4506574,1131965.46,Online
138,Nike Store,,2023-08-01,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,471400.0,313,5388295,1005069.03,Online
139,Éxito,1185732,2023-09-30,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,531400.0,312,6035328,1503389.73,Online
140,Nike Store,1185732,2024-07-06,Andina,Cundinamarca,Soacha,Calzado urbano para hombre,325700.0,312,3699072,761663.66,Online
141,Éxito,1185732,2023-09-25,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,342900.0,312,3893760,943219.17,Outlet
142,Nike Store,1185732,2024-12-01,Caribe,Sucre,Sincelejo,Calzado urbano para hombre,540000.0,311,6093423,1361716.73,Online
143,Éxito,1185732,2023-10-01,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,368600.0,310,4132300,994438.16,Outlet
144,Nike Store,1185732,2023-08-14,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,454300.0,308,5027792,818678.43,Online
145,Decathlon,1185732,2024-12-30,Caribe,Córdoba,Montería,Calzado urbano para hombre,522900.0,308,5786704,938620.3,Online
146,Nike Store,1185732,2023-06-03,Andina,Cundinamarca,Bogotá D.C.,Ropa de hombre,368600.0,306,4026348,694636.8,Outlet
147,Nike Store,,2023-06-21,Andina,Cundinamarca,Bogotá D.C.,Ropa de hombre,368600.0,306,4026348,909975.56,Outlet
148,Éxito,1185732,2023-09-19,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para mujer,291400.0,306,3183624,771893.82,Outlet
149,Éxito,1185732,2023-10-03,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para mujer,351400.0,306,3839076,630654.21,Outlet
150,Decathlon,1197831,2023-12-28,Caribe,Atlántico,Soledad,Calzado urbano para hombre,171400.0,306,1872720,307105.85,Outlet
151,Decathlon,1197831,2024-01-03,Caribe,Atlántico,Soledad,Calzado urbano para hombre,197100.0,306,2153628,381469.55,Outlet
152,Decathlon,1197831,2024-01-04,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,248600.0,306,2715444,661689.71,Outlet
153,Éxito,1197831,2024-03-19,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,265700.0,306,2902716,600849.88,Outlet
154,Éxito,1197831,2024-03-29,Caribe,Atlántico,Soledad,Ropa de mujer,351400.0,306,3839076,591023.71,Outlet
155,Plaza Sport,1128299,2024-06-09,Pacífica,Valle del Cauca,Cali,Ropa de mujer,514300.0,306,5618160,1229029.21,Outlet
156,Plaza Sport,1128299,2024-07-05,Pacífica,Valle del Cauca,Cali,Calzado deportivo para hombre,394300.0,306,4307256,654496.44,Outlet
157,Falabella,1189833,2024-09-27,Andina,Antioquia,Bello,Calzado urbano para hombre,308600.0,NaN,NaN,584783.19,Outlet
158,Decathlon,1197831,2024-09-10,Andina,Tolima,Espinal,Ropa de mujer,317100.0,306,3464532,525029.15,Outlet
159,Plaza Sport,1128299,2024-12-12,Caribe,Bolívar,Cartagena,Calzado urbano para hombre,531400.0,306,5805432,1145295.78,Outlet
160,Nike Store,1185732,2023-08-06,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,548600.0,305,5953600,963102.22,Online
161,Éxito,1197831,2024-01-27,Caribe,Atlántico,Soledad,Calzado urbano para hombre,231400.0,305,2511675,444566.82,Outlet
162,Éxito,1197831,2024-01-28,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,282900.0,305,3069825,766524.74,Outlet
163,Nike Store,1197831,2025-01-04,Amazonía,Caquetá,Florencia,Calzado urbano para mujer,334300.0,305,3627975,861580.18,Outlet
164,Plaza Sport,1185732,2024-02-14,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,514300.0,304,5544960,988789.91,Online
165,Éxito,1197831,2024-01-26,Caribe,Atlántico,Soledad,Ropa de mujer,308600.0,302,3283344,818091.88,Outlet
166,Plaza Sport,,2024-06-16,Pacífica,Valle del Cauca,Cali,Calzado urbano para hombre,385700.0,NaN,NaN,947467.64,Outlet
167,Decathlon,1197831,2024-08-28,Andina,Tolima,Espinal,Ropa de hombre,257100.0,300,2700000,693302.94,Outlet
168,Decathlon,,2025-02-24,Andina,Tolima,Ibagué,Ropa de hombre,257100.0,300,2700000,597594.8,Outlet
169,Nike Store,1185732,2024-10-15,Andina,Santander,Bucaramanga,Calzado urbano para mujer,257100.0,300,2700000,503065.17,In-store
170,Nike Store,1185732,2025-02-15,Andina,Santander,Bucaramanga,Calzado urbano para mujer,128600.0,300,1350000,307270.73,In-store
171,Plaza Sport,1185732,2024-07-10,Andina,Tolima,Honda,Calzado deportivo para mujer,171400.0,300,1800000,376341.21,In-store
172,Plaza Sport,1185732,2025-03-09,Andina,Tolima,Honda,Calzado urbano para mujer,171400.0,300,1800000,382623.12,In-store
173,Mercado Libre,1185732,2024-06-20,Andina,Risaralda,Pereira,Calzado urbano para mujer,257100.0,300,2700000,474137.97,Online
174,Nike Store,1185732,2024-09-13,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,171400.0,300,1800000,360590.55,Online
175,Decathlon,1197831,2024-06-21,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,171400.0,300,1800000,386676.8,Online
176,Éxito,1197831,2024-09-16,Pacífica,Nariño,Pasto,Calzado deportivo para hombre,214300.0,300,2250000,479515.47,Online
177,Éxito,1197831,2024-09-16,Pacífica,Nariño,Pasto,Calzado urbano para mujer,128600.0,300,1350000,217523.62,Online
178,Éxito,,2025-03-19,Pacífica,Nariño,Pasto,Calzado urbano para mujer,171400.0,300,1800000,425320.32,Online
179,Falabella,,2025-04-18,Andina,Huila,Neiva,Calzado deportivo para hombre,128600.0,300,1350000,294380.35,Online
180,Falabella,1197831,2024-07-13,Andina,Huila,Neiva,Calzado urbano para mujer,128600.0,300,1350000,312431.02,Online
181,Falabella,1197831,2024-09-09,Andina,Quindío,Armenia,Ropa de mujer,257100.0,300,2700000,656028.17,Online
182,Nike Store,1197831,2025-03-12,Andina,Quindío,Armenia,Ropa de mujer,257100.0,300,2700000,406554.69,Online
183,Plaza Sport,1185732,2024-10-30,Andina,Caldas,Manizales,Calzado deportivo para hombre,257100.0,300,2700000,550688.98,In-store
184,Plaza Sport,1185732,2024-06-08,Andina,Caldas,Manizales,Calzado urbano para mujer,214300.0,300,2250000,445650.7,In-store
185,Plaza Sport,1185732,2024-07-09,Orinoquía,Meta,Villavicencio,Ropa de mujer,171400.0,300,1800000,411224.84,In-store
186,Plaza Sport,1185732,2024-06-15,Orinoquía,Meta,Villavicencio,Calzado urbano para mujer,214300.0,300,2250000,400703.18,In-store
187,Plaza Sport,,2024-07-16,Orinoquía,Meta,Villavicencio,Calzado urbano para mujer,257100.0,300,2700000,445707.29,In-store
188,Decathlon,1185732,2024-06-05,Andina,Cundinamarca,Zipaquirá,Calzado urbano para mujer,257100.0,300,2700000,678005.02,In-store
189,Nike Store,1185732,2023-06-29,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,385700.0,300,4050000,689854.84,Online
190,Éxito,1185732,2023-10-01,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,437100.0,300,4590000,772651.85,Online
191,Plaza Sport,1185732,2023-09-21,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,445700.0,300,4680000,845512.66,Online
192,Éxito,1185732,2023-09-24,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,514300.0,299,5364060,1332026.35,Online
193,Plaza Sport,1185732,2024-02-08,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,514300.0,299,5364060,1178087.7,Online
194,Éxito,1197831,2024-02-07,Caribe,Atlántico,Soledad,Ropa de mujer,360000.0,298,3729768,757731.37,Outlet
195,Éxito,1197831,2024-03-26,Caribe,Atlántico,Soledad,Calzado urbano para mujer,325700.0,298,3374552,698230.26,Outlet
196,Plaza Sport,1128299,2024-12-19,Pacífica,Chocó,Quibdó,Calzado urbano para hombre,514300.0,298,5328240,879581.61,Outlet
197,Éxito,1197831,2024-01-29,Caribe,Atlántico,Soledad,Calzado urbano para mujer,334300.0,297,3440151,566470.76,Online
198,Nike Store,1185732,2023-08-04,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para mujer,325700.0,297,3351942,596930.33,Outlet
199,Falabella,1189833,2024-09-15,Andina,Antioquia,Bello,Calzado urbano para hombre,308600.0,297,3175524,782547.85,Outlet
200,Éxito,1128299,2024-12-12,Caribe,Atlántico,Barranquilla,Calzado urbano para hombre,582900.0,297,5998212,1307014.64,Outlet
201,Nike Store,1185732,2023-07-06,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,317100.0,296,3241792,649040.03,Outlet
