"id";"Minorista";"Minorista_ID";"Fecha_Venta";"Region";"Departamento";"Ciudad";"Producto";"Precio_por_Unidad";"Unidades_Vendidas";"Total_Ventas";"Ganancia_Operativa";"Metodo_Venta"
20;"Éxito";1185732;"2023-09-16";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";334300.0;408;6492096.0;1546820.86;"Outlet"
21;"Éxito";1185732;"2023-09-24";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";394300.0;403;7470814.0;1274833.95;"Outlet"
22;"Plaza Sport";1185732;"2024-08-06";"Andina";"Tolima";"Honda";"Calzado urbano para mujer";171400.0;400;3200000.0;666953.72;"In-store"
23;"Plaza Sport";1185732;"2024-11-07";"Andina";"Tolima";"Honda";"Calzado deportivo para mujer";171400.0;400;3200000.0;512606.31;"In-store"
24;"Plaza Sport";1185732;"2025-03-09";"Andina";"Tolima";"Honda";"Calzado deportivo para hombre";171400.0;400;3200000.0;786170.4;"In-store"
25;"Plaza Sport";1185732;"2025-04-09";"Andina";"Tolima";"Honda";"Calzado deportivo para hombre";171400.0;400;3200000.0;505033.09;"In-store"
26;"Éxito";1185732;"2025-02-12";"Caribe";"Magdalena";"Santa Marta";"Calzado deportivo para mujer";171400.0;400;3200000.0;742654.27;"Online"
27;"Decathlon";1197831;"2024-07-20";"Caribe";"Magdalena";"Santa Marta";"Calzado urbano para mujer";128600.0;400;2400000.0;496629.07;"Online"
28;"Nike Store";1185732;"2023-08-01";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";402900.0;400;7520000.0;1416809.52;"Outlet"
29;"Nike Store";1185732;"2023-06-23";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";342900.0;390;6084000.0;1041831.87;"Outlet"
30;"Nike Store";1185732;"2023-06-05";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";282900.0;388;4967952.0;1246905.17;"Outlet"
31;"Nike Store";1185732;"2023-05-30";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";291400.0;384;5013504.0;758167.61;"Outlet"
32;"Nike Store";1185732;"2024-07-06";"Andina";"Cundinamarca";"Soacha";"Calzado urbano para hombre";265700.0;376;4382656.0;802710.32;"Outlet"
33;"Decathlon";1197831;"2025-01-18";"Andina";"Tolima";"Ibagué";"Calzado deportivo para mujer";171400.0;375;2812500.0;568421.39;"Outlet"
34;"Nike Store";1185732;"2024-07-17";"Andina";"Boyacá";"Tunja";"Calzado urbano para mujer";171400.0;375;2812500.0;565477.1;"In-store"
35;"Plaza Sport";1185732;"2025-01-07";"Andina";"Tolima";"Honda";"Calzado deportivo para mujer";171400.0;375;2812500.0;700246.33;"In-store"
36;"Plaza Sport";1185732;"2025-04-09";"Andina";"Tolima";"Honda";"Calzado deportivo para mujer";171400.0;375;2812500.0;454800.35;"In-store"
37;"Nike Store";1185732;"2024-09-13";"Caribe";"Magdalena";"Santa Marta";"Calzado urbano para mujer";128600.0;375;2109375.0;509634.57;"Online"
38;"Plaza Sport";1197831;"2025-04-18";"Pacífica";"Nariño";"Pasto";"Calzado deportivo para hombre";128600.0;375;2109375.0;512372.1;"Online"
39;"Plaza Sport";1197831;"2024-06-21";"Pacífica";"Nariño";"Pasto";"Calzado urbano para mujer";128600.0;375;2109375.0;484519.28;"Online"
40;"Nike Store";1185732;"2023-08-13";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";351400.0;375;5765625.0;921249.85;"Outlet"
41;"Éxito";1197831;"2024-01-23";"Caribe";"Atlántico";"Soledad";"Calzado urbano para mujer";248600.0;374;4056404.0;729429.75;"Outlet"
42;"Éxito";1197831;"2024-01-29";"Caribe";"Atlántico";"Soledad";"Calzado urbano para mujer";248600.0;374;4056404.0;648048.44;"Outlet"
43;"Nike Store";1185732;"2023-06-29";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";282900.0;372;4566672.0;1001614.58;"Outlet"
44;"Nike Store";1185732;"2023-07-05";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";377100.0;366;5894064.0;1458067.63;"Outlet"
45;"Éxito";1185732;"2023-09-16";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";480000.0;360;7257600.0;1516118.23;"Online"
46;"Nike Store";1185732;"2023-08-14";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";317100.0;359;4768597.0;726576.19;"Outlet"
47;"Éxito";1185732;"2023-09-15";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";411400.0;355;6049200.0;1240884.7;"Outlet"
48;"Nike Store";1185732;"2023-06-23";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";394300.0;354;5764536.0;1144603.76;"Online"
49;"Nike Store";1185732;"2023-08-12";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";402900.0;352;5823488.0;1324271.25;"Outlet"
50;"Nike Store";1185732;"2024-08-13";"Andina";"Santander";"Bucaramanga";"Calzado urbano para mujer";214300.0;350;3062500.0;524697.99;"In-store"
51;"Nike Store";1185732;"2024-11-14";"Andina";"Santander";"Bucaramanga";"Calzado deportivo para mujer";214300.0;350;3062500.0;748611.59;"In-store"
52;"Nike Store";1185732;"2025-03-16";"Andina";"Santander";"Bucaramanga";"Calzado deportivo para hombre";214300.0;350;3062500.0;698963.96;"In-store"
53;"Nike Store";1185732;"2025-04-16";"Andina";"Santander";"Bucaramanga";"Calzado deportivo para hombre";214300.0;350;3062500.0;789610.06;"In-store"
54;"Plaza Sport";1185732;"2024-10-08";"Andina";"Tolima";"Honda";"Calzado urbano para mujer";214300.0;350;3062500.0;718033.44;"In-store"
55;"Plaza Sport";1185732;"2025-02-08";"Andina";"Tolima";"Honda";"Calzado urbano para mujer";85700.0;350;1225000.0;304784.81;"In-store"
56;"Mercado Libre";1185732;"2024-09-06";"Andina";"Risaralda";"Pereira";"Calzado deportivo para mujer";214300.0;350;3062500.0;522584.79;"Online"
57;"Éxito";1185732;"2025-03-16";"Caribe";"Magdalena";"Santa Marta";"Calzado deportivo para mujer";214300.0;350;3062500.0;541412.88;"Online"
58;"Decathlon";1197831;"2024-07-20";"Caribe";"Magdalena";"Santa Marta";"Calzado deportivo para hombre";214300.0;350;3062500.0;679935.07;"Online"
59;"Éxito";1197831;"2024-08-15";"Pacífica";"Nariño";"Pasto";"Calzado urbano para mujer";85700.0;350;1225000.0;256924.68;"Online"
60;"Éxito";1197831;"2024-08-15";"Pacífica";"Nariño";"Pasto";"Ropa de mujer";214300.0;350;3062500.0;712378.3;"Online"
61;"Éxito";1197831;"2025-02-15";"Pacífica";"Nariño";"Pasto";"Calzado urbano para mujer";128600.0;350;1837500.0;301098.85;"Online"
62;"Plaza Sport";1197831;"2024-07-20";"Andina";"Huila";"Neiva";"Ropa de mujer";171400.0;350;2450000.0;469117.75;"Online"
63;"Plaza Sport";1197831;"2025-03-19";"Andina";"Huila";"Neiva";"Calzado deportivo para hombre";171400.0;350;2450000.0;504193.35;"Online"
64;"Falabella";1197831;"2024-06-14";"Andina";"Huila";"Neiva";"Calzado deportivo para hombre";214300.0;350;3062500.0;595766.89;"Online"
65;"Falabella";1197831;"2024-06-14";"Andina";"Huila";"Neiva";"Calzado urbano para mujer";128600.0;350;1837500.0;377240.64;"Online"
66;"Falabella";1197831;"2024-06-14";"Andina";"Huila";"Neiva";"Ropa de mujer";214300.0;350;3062500.0;560121.32;"Online"
67;"Plaza Sport";1185732;"2024-07-16";"Andina";"Norte de Santander";"Cúcuta";"Ropa de mujer";214300.0;350;3062500.0;791903.41;"In-store"
68;"Nike Store";1185732;"2023-06-01";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para mujer";274300.0;350;3920000.0;604515.98;"Outlet"
69;"Nike Store";1185732;"2023-06-22";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";308600.0;350;4410000.0;773179.68;"Outlet"
70;"Éxito";1185732;"2023-09-17";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";368600.0;350;5267500.0;811095.81;"Outlet"
71;"Éxito";1185732;"2023-09-21";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";385700.0;350;5512500.0;1124182.22;"Outlet"
72;"Éxito";1197831;"2024-01-20";"Caribe";"Atlántico";"Soledad";"Ropa de mujer";325700.0;350;4655000.0;873850.13;"Outlet"
73;"Nike Store";1185732;"2024-06-07";"Andina";"Cundinamarca";"Soacha";"Calzado urbano para hombre";222900.0;349;3166826.0;559941.34;"Outlet"
74;"Nike Store";1185732;"2023-08-06";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";394300.0;347;5538814.0;946609.41;"Outlet"
75;"Plaza Sport";1185732;"2025-04-09";"Andina";"Tolima";"Honda";"Calzado urbano para mujer";171400.0;345;2380500.0;414396.26;"In-store"
76;"Plaza Sport";1128299;"2024-06-04";"Pacífica";"Valle del Cauca";"Cali";"Calzado urbano para hombre";351400.0;341;4767521.0;990134.91;"Outlet"
77;"Nike Store";1185732;"2023-08-02";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";351400.0;340;4739600.0;1214183.3;"Outlet"
78;"Éxito";1185732;"2023-12-15";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";411400.0;340;5548800.0;986809.73;"Outlet"
79;"Plaza Sport";1128299;"2024-06-10";"Pacífica";"Valle del Cauca";"Cali";"Calzado urbano para hombre";351400.0;338;4684004.0;893121.25;"Outlet"
80;"Nike Store";1185732;"2023-05-30";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";402900.0;336;5306112.0;848169.73;"Online"
81;"Nike Store";1185732;"2023-07-04";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";334300.0;333;4324671.0;809639.88;"Outlet"
82;"Éxito";1185732;"2023-10-02";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para mujer";360000.0;333;4657338.0;915297.39;"Outlet"
83;"Éxito";1197831;"2024-03-24";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";274300.0;333;3548448.0;571291.02;"Outlet"
84;"Éxito";1197831;"2024-03-25";"Caribe";"Atlántico";"Soledad";"Calzado deportivo para hombre";291400.0;333;3770226.0;661309.42;"Outlet"
85;"Plaza Sport";1128299;"2024-07-11";"Pacífica";"Valle del Cauca";"Cali";"Calzado deportivo para hombre";394300.0;332;5070304.0;1237272.43;"Outlet"
86;"Decathlon";1197831;"2025-02-20";"Andina";"Antioquia";"Medellín";"Calzado urbano para mujer";300000.0;332;3857840.0;825219.93;"Outlet"
87;"Nike Store";1185732;"2023-06-04";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";325700.0;330;4138200.0;775772.91;"Outlet"
88;"Éxito";1185732;"2023-09-23";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";428600.0;330;5445000.0;1391794.27;"Outlet"
89;"Nike Store";1185732;"2025-01-02";"Caribe";"Sucre";"Sincelejo";"Calzado urbano para hombre";531400.0;326;6589112.0;1552718.96;"Online"
90;"Nike Store";1185732;"2025-01-14";"Andina";"Santander";"Bucaramanga";"Calzado deportivo para mujer";214300.0;325;2640625.0;399836.04;"In-store"
91;"Nike Store";1185732;"2025-04-16";"Andina";"Santander";"Bucaramanga";"Calzado deportivo para mujer";214300.0;325;2640625.0;607709.22;"In-store"
92;"Plaza Sport";1185732;"2024-06-09";"Andina";"Santander";"Bucaramanga";"Calzado deportivo para mujer";171400.0;325;2112500.0;457230.37;"In-store"
93;"Plaza Sport";1185732;"2024-09-07";"Andina";"Tolima";"Honda";"Calzado deportivo para hombre";214300.0;325;2640625.0;638468.45;"In-store"
94;"Plaza Sport";1185732;"2024-09-07";"Andina";"Tolima";"Honda";"Calzado urbano para mujer";128600.0;325;1584375.0;300418.25;"In-store"
95;"Plaza Sport";1185732;"2025-02-08";"Andina";"Tolima";"Honda";"Calzado deportivo para mujer";85700.0;325;1056250.0;192982.05;"In-store"
96;"Plaza Sport";1185732;"2025-02-08";"Andina";"Tolima";"Honda";"Ropa de hombre";171400.0;325;2112500.0;411272.48;"In-store"
97;"Mercado Libre";1185732;"2024-08-05";"Andina";"Risaralda";"Pereira";"Calzado deportivo para mujer";214300.0;325;2640625.0;436525.13;"Online"
98;"Nike Store";1185732;"2024-07-17";"Caribe";"Magdalena";"Santa Marta";"Calzado deportivo para mujer";214300.0;325;2640625.0;534728.85;"Online"
99;"Éxito";1197831;"2024-08-15";"Pacífica";"Nariño";"Pasto";"Calzado deportivo para hombre";171400.0;325;2112500.0;542005.11;"Online"
100;"Éxito";1197831;"2025-02-15";"Pacífica";"Nariño";"Pasto";"Calzado deportivo para mujer";128600.0;325;1584375.0;309507.23;"Online"
101;"Éxito";1197831;"2025-02-15";"Pacífica";"Nariño";"Pasto";"Ropa de hombre";214300.0;325;2640625.0;441082.78;"Online"
102;"Plaza Sport";1197831;"2024-07-20";"Pacífica";"Nariño";"Pasto";"Calzado urbano para mujer";128600.0;325;1584375.0;331351.65;"Online"
103;"Falabella";1197831;"2024-07-13";"Andina";"Quindío";"Armenia";"Ropa de mujer";171400.0;325;2112500.0;368787.32;"Online"
104;"Falabella";1197831;"2025-03-12";"Andina";"Quindío";"Armenia";"Calzado deportivo para hombre";171400.0;325;2112500.0;434030.01;"Online"
105;"Plaza Sport";1185732;"2024-08-12";"Andina";"Norte de Santander";"Cúcuta";"Calzado urbano para mujer";171400.0;325;2112500.0;514538.11;"In-store"
106;"Nike Store";1185732;"2023-08-13";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";497100.0;325;6126250.0;1418028.96;"Online"
107;"Nike Store";1185732;"2023-08-28";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para mujer";342900.0;324;4199040.0;699700.62;"Outlet"
108;"Decathlon";1185732;"2023-10-21";"Caribe";"La Guajira";"Riohacha";"Calzado urbano para hombre";540000.0;323;6572727.0;1372150.66;"Online"
109;"Nike Store";1185732;"2023-06-19";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para mujer";274300.0;323;3338528.0;580640.17;"Outlet"
110;"Nike Store";1185732;"2023-06-28";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";308600.0;323;3755844.0;763608.93;"Outlet"
111;"Éxito";1197831;"2024-01-16";"Caribe";"Atlántico";"Soledad";"Calzado deportivo para hombre";282900.0;323;3442857.0;808375.94;"Outlet"
112;"Éxito";1185732;"2023-09-29";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";454300.0;322;5495252.0;1066372.24;"Outlet"
113;"Plaza Sport";1128299;"2024-07-10";"Pacífica";"Valle del Cauca";"Cali";"Calzado urbano para hombre";342900.0;322;4147360.0;936776.29;"Outlet"
114;"Decathlon";1197831;"2025-02-14";"Andina";"Antioquia";"Medellín";"Calzado urbano para mujer";282900.0;322;3421572.0;606317.72;"Outlet"
115;"Decathlon";1197831;"2024-09-13";"Andina";"Tolima";"Espinal";"Calzado urbano para mujer";257100.0;322;3110520.0;523822.2;"Outlet"
116;"Decathlon";1197831;"2025-02-04";"Andina";"Tolima";"Ibagué";"Calzado urbano para mujer";265700.0;322;3214204.0;515570.54;"Outlet"
117;"Plaza Sport";1197831;"2025-04-18";"Pacífica";"Nariño";"Pasto";"Calzado urbano para mujer";214300.0;320;2560000.0;657430.39;"Online"
118;"Nike Store";1185732;"2023-05-31";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";308600.0;320;3686400.0;784585.14;"Outlet"
119;"Nike Store";1185732;"2023-07-31";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";377100.0;320;4505600.0;1143230.48;"Outlet"
120;"Nike Store";1185732;"2023-08-07";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";505700.0;319;6003899.0;901667.22;"Online"
121;"Éxito";1197831;"2024-01-23";"Caribe";"Atlántico";"Soledad";"Calzado urbano para mujer";317100.0;319;3765157.0;638928.39;"Online"
122;"Nike Store";1185732;"2024-01-09";"Caribe";"La Guajira";"Riohacha";"Calzado urbano para hombre";368600.0;319;4375723.0;1084891.64;"Online"
123;"Nike Store";1185732;"2023-08-08";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";351400.0;318;4146084.0;1038951.63;"Outlet"
124;"Nike Store";1185732;"2023-07-05";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";462900.0;317;5426406.0;1351872.17;"Online"
125;"Nike Store";1185732;"2023-06-06";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";334300.0;315;3869775.0;905076.76;"Outlet"
126;"Nike Store";1185732;"2023-06-24";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";300000.0;315;3472875.0;562718.38;"Outlet"
127;"Nike Store";1185732;"2023-06-30";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";300000.0;315;3472875.0;619948.06;"Outlet"
128;"Nike Store";1185732;"2023-07-01";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para mujer";240000.0;315;2778300.0;712523.12;"Outlet"
129;"Éxito";1185732;"2023-09-18";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para mujer";308600.0;315;3572100.0;559984.22;"Outlet"
130;"Éxito";1185732;"2023-09-20";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de hombre";377100.0;315;4365900.0;848950.21;"Outlet"
131;"Éxito";1197831;"2024-01-09";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";205700.0;315;2381400.0;576186.33;"Outlet"
132;"Éxito";1197831;"2024-02-04";"Caribe";"Atlántico";"Soledad";"Calzado urbano para mujer";308600.0;315;3572100.0;915933.58;"Outlet"
133;"Falabella";1189833;"2024-10-21";"Andina";"Antioquia";"Bello";"Calzado urbano para hombre";334300.0;315;3869775.0;720581.83;"Outlet"
134;"Nike Store";1185732;"2023-06-25";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para mujer";231400.0;314;2662092.0;617069.78;"Outlet"
135;"Nike Store";1185732;"2023-08-15";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para mujer";317100.0;314;3648052.0;840405.59;"Outlet"
136;"Decathlon";1197831;"2024-09-19";"Andina";"Tolima";"Espinal";"Calzado urbano para mujer";334300.0;314;3845244.0;755432.09;"Outlet"
137;"Nike Store";1185732;"2023-06-05";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";394300.0;313;4506574.0;1131965.46;"Online"
138;"Nike Store";1185732;"2023-08-01";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";471400.0;313;5388295.0;1005069.03;"Online"
139;"Éxito";1185732;"2023-09-30";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";531400.0;312;6035328.0;1503389.73;"Online"
140;"Nike Store";1185732;"2024-07-06";"Andina";"Cundinamarca";"Soacha";"Calzado urbano para hombre";325700.0;312;3699072.0;761663.66;"Online"
141;"Éxito";1185732;"2023-09-25";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";342900.0;312;3893760.0;943219.17;"Outlet"
142;"Nike Store";1185732;"2024-12-01";"Caribe";"Sucre";"Sincelejo";"Calzado urbano para hombre";540000.0;311;6093423.0;1361716.73;"Online"
143;"Éxito";1185732;"2023-10-01";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";368600.0;310;4132300.0;994438.16;"Outlet"
144;"Nike Store";1185732;"2023-08-14";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";454300.0;308;5027792.0;818678.43;"Online"
145;"Decathlon";1185732;"2024-12-30";"Caribe";"Córdoba";"Montería";"Calzado urbano para hombre";522900.0;308;5786704.0;938620.3;"Online"
146;"Nike Store";1185732;"2023-06-03";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de hombre";368600.0;306;4026348.0;694636.8;"Outlet"
147;"Nike Store";1185732;"2023-06-21";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de hombre";368600.0;306;4026348.0;909975.56;"Outlet"
148;"Éxito";1185732;"2023-09-19";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para mujer";291400.0;306;3183624.0;771893.82;"Outlet"
149;"Éxito";1185732;"2023-10-03";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para mujer";351400.0;306;3839076.0;630654.21;"Outlet"
150;"Decathlon";1197831;"2023-12-28";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";171400.0;306;1872720.0;307105.85;"Outlet"
151;"Decathlon";1197831;"2024-01-03";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";197100.0;306;2153628.0;381469.55;"Outlet"
152;"Decathlon";1197831;"2024-01-04";"Caribe";"Atlántico";"Soledad";"Calzado deportivo para hombre";248600.0;306;2715444.0;661689.71;"Outlet"
153;"Éxito";1197831;"2024-03-19";"Caribe";"Atlántico";"Soledad";"Calzado deportivo para hombre";265700.0;306;2902716.0;600849.88;"Outlet"
154;"Éxito";1197831;"2024-03-29";"Caribe";"Atlántico";"Soledad";"Ropa de mujer";351400.0;306;3839076.0;591023.71;"Outlet"
155;"Plaza Sport";1128299;"2024-06-09";"Pacífica";"Valle del Cauca";"Cali";"Ropa de mujer";514300.0;306;5618160.0;1229029.21;"Outlet"
156;"Plaza Sport";1128299;"2024-07-05";"Pacífica";"Valle del Cauca";"Cali";"Calzado deportivo para hombre";394300.0;306;4307256.0;654496.44;"Outlet"
157;"Falabella";1189833;"2024-09-27";"Andina";"Antioquia";"Bello";"Calzado urbano para hombre";308600.0;306;3370896.0;584783.19;"Outlet"
158;"Decathlon";1197831;"2024-09-10";"Andina";"Tolima";"Espinal";"Ropa de mujer";317100.0;306;3464532.0;525029.15;"Outlet"
159;"Plaza Sport";1128299;"2024-12-12";"Caribe";"Bolívar";"Cartagena";"Calzado urbano para hombre";531400.0;306;5805432.0;1145295.78;"Outlet"
160;"Nike Store";1185732;"2023-08-06";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";548600.0;305;5953600.0;963102.22;"Online"
161;"Éxito";1197831;"2024-01-27";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";231400.0;305;2511675.0;444566.82;"Outlet"
162;"Éxito";1197831;"2024-01-28";"Caribe";"Atlántico";"Soledad";"Calzado deportivo para hombre";282900.0;305;3069825.0;766524.74;"Outlet"
163;"Nike Store";1197831;"2025-01-04";"Amazonía";"Caquetá";"Florencia";"Calzado urbano para mujer";334300.0;305;3627975.0;861580.18;"Outlet"
164;"Plaza Sport";1185732;"2024-02-14";"Caribe";"La Guajira";"Riohacha";"Calzado urbano para hombre";514300.0;304;5544960.0;988789.91;"Online"
165;"Éxito";1197831;"2024-01-26";"Caribe";"Atlántico";"Soledad";"Ropa de mujer";308600.0;302;3283344.0;818091.88;"Outlet"
166;"Plaza Sport";1128299;"2024-06-16";"Pacífica";"Valle del Cauca";"Cali";"Calzado urbano para hombre";385700.0;302;4104180.0;947467.64;"Outlet"
167;"Decathlon";1197831;"2024-08-28";"Andina";"Tolima";"Espinal";"Ropa de hombre";257100.0;300;2700000.0;693302.94;"Outlet"
168;"Decathlon";1197831;"2025-02-24";"Andina";"Tolima";"Ibagué";"Ropa de hombre";257100.0;300;2700000.0;597594.8;"Outlet"
169;"Nike Store";1185732;"2024-10-15";"Andina";"Santander";"Bucaramanga";"Calzado urbano para mujer";257100.0;300;2700000.0;503065.17;"In-store"
170;"Nike Store";1185732;"2025-02-15";"Andina";"Santander";"Bucaramanga";"Calzado urbano para mujer";128600.0;300;1350000.0;307270.73;"In-store"
171;"Plaza Sport";1185732;"2024-07-10";"Andina";"Tolima";"Honda";"Calzado deportivo para mujer";171400.0;300;1800000.0;376341.21;"In-store"
172;"Plaza Sport";1185732;"2025-03-09";"Andina";"Tolima";"Honda";"Calzado urbano para mujer";171400.0;300;1800000.0;382623.12;"In-store"
173;"Mercado Libre";1185732;"2024-06-20";"Andina";"Risaralda";"Pereira";"Calzado urbano para mujer";257100.0;300;2700000.0;474137.97;"Online"
174;"Nike Store";1185732;"2024-09-13";"Caribe";"Magdalena";"Santa Marta";"Calzado deportivo para mujer";171400.0;300;1800000.0;360590.55;"Online"
