Minorista,Minorista ID,Fecha_Venta,Region,Estado,Ciudad,Producto,Precio_por_Unidad,Unidades_Vendidas,Total_Ventas,Ganancia_Operativa,Metodo_Venta
Nike Store,1185732,2025-03-16,Andina,Santander,Bucaramanga,Calzado deportivo para hombre,214300.0,350,3062500.0,698963.96,In-store
Nike Store,1185732,2025-04-16,Andina,Santander,Bucaramanga,Calzado deportivo para hombre,214300.0,350,3062500.0,789610.06,In-store
Plaza Sport,1185732,2024-10-08,Andina,Tolima,Honda,Calzado urbano para mujer,214300.0,350,3062500.0,718033.44,In-store
Plaza Sport,1185732,2025-02-08,Andina,Tolima,Honda,Calzado urbano para mujer,85700.0,350,1225000.0,304784.81,In-store
Mercado Libre,1185732,2024-09-06,Andina,Risaralda,Pereira,Calzado deportivo para mujer,214300.0,350,3062500.0,522584.79,Online
Éxito,1185732,2025-03-16,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,214300.0,350,3062500.0,541412.88,Online
Decathlon,1197831,2024-07-20,Caribe,Magdalena,Santa Marta,Calzado deportivo para hombre,214300.0,350,3062500.0,679935.07,Online
Éxito,1197831,2024-08-15,Pacífica,Nariño,Pasto,Calzado urbano para mujer,85700.0,350,1225000.0,256924.68,Online
Éxito,1197831,2024-08-15,Pacífica,Nariño,Pasto,Ropa de mujer,214300.0,350,3062500.0,712378.3,Online
Éxito,1197831,2025-02-15,Pacífica,Nariño,Pasto,Calzado urbano para mujer,128600.0,350,1837500.0,301098.85,Online
Plaza Sport,1197831,2024-07-20,Andina,Huila,Neiva,Ropa de mujer,171400.0,350,2450000.0,469117.75,Online
Plaza Sport,1197831,2025-03-19,Andina,Huila,Neiva,Calzado deportivo para hombre,171400.0,350,2450000.0,504193.35,Online
Falabella,1197831,2024-06-14,Andina,Huila,Neiva,Calzado deportivo para hombre,214300.0,350,3062500.0,595766.89,Online
Falabella,1197831,2024-06-14,Andina,Huila,Neiva,Calzado urbano para mujer,128600.0,350,1837500.0,377240.64,Online
Falabella,1197831,2024-06-14,Andina,Huila,Neiva,Ropa de mujer,214300.0,350,3062500.0,560121.32,Online
Plaza Sport,1185732,2024-07-16,Andina,Norte de Santander,Cúcuta,Ropa de mujer,214300.0,350,3062500.0,791903.41,In-store
Nike Store,1185732,2023-06-01,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,274300.0,350,3920000.0,604515.98,Outlet
Nike Store,1185732,2023-06-22,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,308600.0,350,4410000.0,773179.68,Outlet
Éxito,1185732,2023-09-17,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,368600.0,350,5267500.0,811095.81,Outlet
Éxito,1185732,2023-09-21,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,385700.0,350,5512500.0,1124182.22,Outlet
Éxito,1197831,2024-01-20,Caribe,Atlántico,Soledad,Ropa de mujer,325700.0,350,4655000.0,873850.13,Outlet
Nike Store,1185732,2024-06-07,Andina,Cundinamarca,Soacha,Calzado urbano para hombre,222900.0,349,3166826.0,559941.34,Outlet
Nike Store,1185732,2023-08-06,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,394300.0,347,5538814.0,946609.41,Outlet
Plaza Sport,1185732,2025-04-09,Andina,Tolima,Honda,Calzado urbano para mujer,171400.0,345,2380500.0,414396.26,In-store
Plaza Sport,1128299,2024-06-04,Pacífica,Valle del Cauca,Cali,Calzado urbano para hombre,351400.0,341,4767521.0,990134.91,Outlet
Nike Store,1185732,2023-08-02,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,351400.0,340,4739600.0,1214183.3,Outlet
Éxito,1185732,2023-12-15,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,411400.0,340,5548800.0,986809.73,Outlet
Plaza Sport,1128299,2024-06-10,Pacífica,Valle del Cauca,Cali,Calzado urbano para hombre,351400.0,338,4684004.0,893121.25,Outlet
Nike Store,1185732,2023-05-30,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,402900.0,336,5306112.0,848169.73,Online
Nike Store,1185732,2023-07-04,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,334300.0,333,4324671.0,809639.88,Outlet
Éxito,1185732,2023-10-02,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,360000.0,333,4657338.0,915297.39,Outlet
Éxito,1197831,2024-03-24,Caribe,Atlántico,Soledad,Calzado urbano para hombre,274300.0,333,3548448.0,571291.02,Outlet
Éxito,1197831,2024-03-25,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,291400.0,333,3770226.0,661309.42,Outlet
Plaza Sport,1128299,2024-07-11,Pacífica,Valle del Cauca,Cali,Calzado deportivo para hombre,394300.0,332,5070304.0,1237272.43,Outlet
Decathlon,1197831,2025-02-20,Andina,Antioquia,Medellín,Calzado urbano para mujer,300000.0,332,3857840.0,825219.93,Outlet
Nike Store,1185732,2023-06-04,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,325700.0,330,4138200.0,775772.91,Outlet
Éxito,1185732,2023-09-23,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,428600.0,330,5445000.0,1391794.27,Outlet
Nike Store,1185732,2025-01-02,Caribe,Sucre,Sincelejo,Calzado urbano para hombre,531400.0,326,6589112.0,1552718.96,Online
Nike Store,1185732,2025-01-14,Andina,Santander,Bucaramanga,Calzado deportivo para mujer,214300.0,325,2640625.0,399836.04,In-store
Nike Store,1185732,2025-04-16,Andina,Santander,Bucaramanga,Calzado deportivo para mujer,214300.0,325,2640625.0,607709.22,In-store
Plaza Sport,1185732,2024-06-09,Andina,Santander,Bucaramanga,Calzado deportivo para mujer,171400.0,325,2112500.0,457230.37,In-store
Plaza Sport,1185732,2024-09-07,Andina,Tolima,Honda,Calzado deportivo para hombre,214300.0,325,2640625.0,638468.45,In-store
Plaza Sport,1185732,2024-09-07,Andina,Tolima,Honda,Calzado urbano para mujer,128600.0,325,1584375.0,300418.25,In-store
Plaza Sport,1185732,2025-02-08,Andina,Tolima,Honda,Calzado deportivo para mujer,85700.0,325,1056250.0,192982.05,In-store
Plaza Sport,1185732,2025-02-08,Andina,Tolima,Honda,Ropa de hombre,171400.0,325,2112500.0,411272.48,In-store
Mercado Libre,1185732,2024-08-05,Andina,Risaralda,Pereira,Calzado deportivo para mujer,214300.0,325,2640625.0,436525.13,Online
Nike Store,1185732,2024-07-17,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,214300.0,325,2640625.0,534728.85,Online
Éxito,1197831,2024-08-15,Pacífica,Nariño,Pasto,Calzado deportivo para hombre,171400.0,325,2112500.0,542005.11,Online
Éxito,1197831,2025-02-15,Pacífica,Nariño,Pasto,Calzado deportivo para mujer,128600.0,325,1584375.0,309507.23,Online
Éxito,1197831,2025-02-15,Pacífica,Nariño,Pasto,Ropa de hombre,214300.0,325,2640625.0,441082.78,Online
Plaza Sport,1197831,2024-07-20,Pacífica,Nariño,Pasto,Calzado urbano para mujer,128600.0,325,1584375.0,331351.65,Online
Falabella,1197831,2024-07-13,Andina,Quindío,Armenia,Ropa de mujer,171400.0,325,2112500.0,368787.32,Online
Falabella,1197831,2025-03-12,Andina,Quindío,Armenia,Calzado deportivo para hombre,171400.0,325,2112500.0,434030.01,Online
Plaza Sport,1185732,2024-08-12,Andina,Norte de Santander,Cúcuta,Calzado urbano para mujer,171400.0,325,2112500.0,514538.11,In-store
Nike Store,1185732,2023-08-13,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,497100.0,325,6126250.0,1418028.96,Online
Nike Store,1185732,2023-08-28,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para mujer,342900.0,324,4199040.0,699700.62,Outlet
Decathlon,1185732,2023-10-21,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,540000.0,323,6572727.0,1372150.66,Online
Nike Store,1185732,2023-06-19,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,274300.0,323,3338528.0,580640.17,Outlet
Nike Store,1185732,2023-06-28,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,308600.0,323,3755844.0,763608.93,Outlet
Éxito,1197831,2024-01-16,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,282900.0,323,3442857.0,808375.94,Outlet
Éxito,1185732,2023-09-29,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,454300.0,322,5495252.0,1066372.24,Outlet
Plaza Sport,1128299,2024-07-10,Pacífica,Valle del Cauca,Cali,Calzado urbano para hombre,342900.0,322,4147360.0,936776.29,Outlet
Decathlon,1197831,2025-02-14,Andina,Antioquia,Medellín,Calzado urbano para mujer,282900.0,322,3421572.0,606317.72,Outlet
Decathlon,1197831,2024-09-13,Andina,Tolima,Espinal,Calzado urbano para mujer,257100.0,322,3110520.0,523822.2,Outlet
Decathlon,1197831,2025-02-04,Andina,Tolima,Ibagué,Calzado urbano para mujer,265700.0,322,3214204.0,515570.54,Outlet
Plaza Sport,1197831,2025-04-18,Pacífica,Nariño,Pasto,Calzado urbano para mujer,214300.0,320,2560000.0,657430.39,Online
Nike Store,1185732,2023-05-31,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,308600.0,320,3686400.0,784585.14,Outlet
Nike Store,1185732,2023-07-31,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,377100.0,320,4505600.0,1143230.48,Outlet
Nike Store,1185732,2023-08-07,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,505700.0,319,6003899.0,901667.22,Online
Éxito,1197831,2024-01-23,Caribe,Atlántico,Soledad,Calzado urbano para mujer,317100.0,319,3765157.0,638928.39,Online
Nike Store,1185732,2024-01-09,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,368600.0,319,4375723.0,1084891.64,Online
Nike Store,1185732,2023-08-08,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,351400.0,318,4146084.0,1038951.63,Outlet
Nike Store,1185732,2023-07-05,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,462900.0,317,5426406.0,1351872.17,Online
Nike Store,1185732,2023-06-06,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,334300.0,315,3869775.0,905076.76,Outlet
Nike Store,1185732,2023-06-24,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,300000.0,315,3472875.0,562718.38,Outlet
Nike Store,1185732,2023-06-30,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,300000.0,315,3472875.0,619948.06,Outlet
Nike Store,1185732,2023-07-01,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,240000.0,315,2778300.0,712523.12,Outlet
Éxito,1185732,2023-09-18,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,308600.0,315,3572100.0,559984.22,Outlet
Éxito,1185732,2023-09-20,Andina,Cundinamarca,Bogotá D.C.,Ropa de hombre,377100.0,315,4365900.0,848950.21,Outlet
Éxito,1197831,2024-01-09,Caribe,Atlántico,Soledad,Calzado urbano para hombre,205700.0,315,2381400.0,576186.33,Outlet
Éxito,1197831,2024-02-04,Caribe,Atlántico,Soledad,Calzado urbano para mujer,308600.0,315,3572100.0,915933.58,Outlet
Falabella,1189833,2024-10-21,Andina,Antioquia,Bello,Calzado urbano para hombre,334300.0,315,3869775.0,720581.83,Outlet
Nike Store,1185732,2023-06-25,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,231400.0,314,2662092.0,617069.78,Outlet
Nike Store,1185732,2023-08-15,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para mujer,317100.0,314,3648052.0,840405.59,Outlet
Decathlon,1197831,2024-09-19,Andina,Tolima,Espinal,Calzado urbano para mujer,334300.0,314,3845244.0,755432.09,Outlet
Nike Store,1185732,2023-06-05,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,394300.0,313,4506574.0,1131965.46,Online
Nike Store,1185732,2023-08-01,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,471400.0,313,5388295.0,1005069.03,Online
Éxito,1185732,2023-09-30,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,531400.0,312,6035328.0,1503389.73,Online
Nike Store,1185732,2024-07-06,Andina,Cundinamarca,Soacha,Calzado urbano para hombre,325700.0,312,3699072.0,761663.66,Online
Éxito,1185732,2023-09-25,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,342900.0,312,3893760.0,943219.17,Outlet
Nike Store,1185732,2024-12-01,Caribe,Sucre,Sincelejo,Calzado urbano para hombre,540000.0,311,6093423.0,1361716.73,Online
Éxito,1185732,2023-10-01,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,368600.0,310,4132300.0,994438.16,Outlet
Nike Store,1185732,2023-08-14,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,454300.0,308,5027792.0,818678.43,Online
Decathlon,1185732,2024-12-30,Caribe,Córdoba,Montería,Calzado urbano para hombre,522900.0,308,5786704.0,938620.3,Online
Nike Store,1185732,2023-06-03,Andina,Cundinamarca,Bogotá D.C.,Ropa de hombre,368600.0,306,4026348.0,694636.8,Outlet
Nike Store,1185732,2023-06-21,Andina,Cundinamarca,Bogotá D.C.,Ropa de hombre,368600.0,306,4026348.0,909975.56,Outlet
Éxito,1185732,2023-09-19,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para mujer,291400.0,306,3183624.0,771893.82,Outlet
Éxito,1185732,2023-10-03,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para mujer,351400.0,306,3839076.0,630654.21,Outlet
Decathlon,1197831,2023-12-28,Caribe,Atlántico,Soledad,Calzado urbano para hombre,171400.0,306,1872720.0,307105.85,Outlet
Decathlon,1197831,2024-01-03,Caribe,Atlántico,Soledad,Calzado urbano para hombre,197100.0,306,2153628.0,381469.55,Outlet
Decathlon,1197831,2024-01-04,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,248600.0,306,2715444.0,661689.71,Outlet
Éxito,1197831,2024-03-19,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,265700.0,306,2902716.0,600849.88,Outlet
Éxito,1197831,2024-03-29,Caribe,Atlántico,Soledad,Ropa de mujer,351400.0,306,3839076.0,591023.71,Outlet
Plaza Sport,1128299,2024-06-09,Pacífica,Valle del Cauca,Cali,Ropa de mujer,514300.0,306,5618160.0,1229029.21,Outlet
Plaza Sport,1128299,2024-07-05,Pacífica,Valle del Cauca,Cali,Calzado deportivo para hombre,394300.0,306,4307256.0,654496.44,Outlet
Falabella,1189833,2024-09-27,Andina,Antioquia,Bello,Calzado urbano para hombre,308600.0,306,3370896.0,584783.19,Outlet
Decathlon,1197831,2024-09-10,Andina,Tolima,Espinal,Ropa de mujer,317100.0,306,3464532.0,525029.15,Outlet
Plaza Sport,1128299,2024-12-12,Caribe,Bolívar,Cartagena,Calzado urbano para hombre,531400.0,306,5805432.0,1145295.78,Outlet
Nike Store,1185732,2023-08-06,Andina,Cundinamarca,Bogotá D.C.,Ropa de mujer,548600.0,305,5953600.0,963102.22,Online
Éxito,1197831,2024-01-27,Caribe,Atlántico,Soledad,Calzado urbano para hombre,231400.0,305,2511675.0,444566.82,Outlet
Éxito,1197831,2024-01-28,Caribe,Atlántico,Soledad,Calzado deportivo para hombre,282900.0,305,3069825.0,766524.74,Outlet
Nike Store,1197831,2025-01-04,Amazonía,Caquetá,Florencia,Calzado urbano para mujer,334300.0,305,3627975.0,861580.18,Outlet
Plaza Sport,1185732,2024-02-14,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,514300.0,304,5544960.0,988789.91,Online
Éxito,1197831,2024-01-26,Caribe,Atlántico,Soledad,Ropa de mujer,308600.0,302,3283344.0,818091.88,Outlet
Plaza Sport,1128299,2024-06-16,Pacífica,Valle del Cauca,Cali,Calzado urbano para hombre,385700.0,302,4104180.0,947467.64,Outlet
Decathlon,1197831,2024-08-28,Andina,Tolima,Espinal,Ropa de hombre,257100.0,300,2700000.0,693302.94,Outlet
Decathlon,1197831,2025-02-24,Andina,Tolima,Ibagué,Ropa de hombre,257100.0,300,2700000.0,597594.8,Outlet
Nike Store,1185732,2024-10-15,Andina,Santander,Bucaramanga,Calzado urbano para mujer,257100.0,300,2700000.0,503065.17,In-store
Nike Store,1185732,2025-02-15,Andina,Santander,Bucaramanga,Calzado urbano para mujer,128600.0,300,1350000.0,307270.73,In-store
Plaza Sport,1185732,2024-07-10,Andina,Tolima,Honda,Calzado deportivo para mujer,171400.0,300,1800000.0,376341.21,In-store
Plaza Sport,1185732,2025-03-09,Andina,Tolima,Honda,Calzado urbano para mujer,171400.0,300,1800000.0,382623.12,In-store
Mercado Libre,1185732,2024-06-20,Andina,Risaralda,Pereira,Calzado urbano para mujer,257100.0,300,2700000.0,474137.97,Online
Nike Store,1185732,2024-09-13,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,171400.0,300,1800000.0,360590.55,Online
Decathlon,1197831,2024-06-21,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,171400.0,300,1800000.0,386676.8,Online
Éxito,1197831,2024-09-16,Pacífica,Nariño,Pasto,Calzado deportivo para hombre,214300.0,300,2250000.0,479515.47,Online
Éxito,1197831,2024-09-16,Pacífica,Nariño,Pasto,Calzado urbano para mujer,128600.0,300,1350000.0,217523.62,Online
Éxito,1197831,2025-03-19,Pacífica,Nariño,Pasto,Calzado urbano para mujer,171400.0,300,1800000.0,425320.32,Online
Falabella,1197831,2025-04-18,Andina,Huila,Neiva,Calzado deportivo para hombre,128600.0,300,1350000.0,294380.35,Online
Falabella,1197831,2024-07-13,Andina,Huila,Neiva,Calzado urbano para mujer,128600.0,300,1350000.0,312431.02,Online
Falabella,1197831,2024-09-09,Andina,Quindío,Armenia,Ropa de mujer,257100.0,300,2700000.0,656028.17,Online
Nike Store,1197831,2025-03-12,Andina,Quindío,Armenia,Ropa de mujer,257100.0,300,2700000.0,406554.69,Online
Plaza Sport,1185732,2024-10-30,Andina,Caldas,Manizales,Calzado deportivo para hombre,257100.0,300,2700000.0,550688.98,In-store
Plaza Sport,1185732,2024-06-08,Andina,Caldas,Manizales,Calzado urbano para mujer,214300.0,300,2250000.0,445650.7,In-store
Plaza Sport,1185732,2024-07-09,Orinoquía,Meta,Villavicencio,Ropa de mujer,171400.0,300,1800000.0,411224.84,In-store
Plaza Sport,1185732,2024-06-15,Orinoquía,Meta,Villavicencio,Calzado urbano para mujer,214300.0,300,2250000.0,400703.18,In-store
Plaza Sport,1185732,2024-07-16,Orinoquía,Meta,Villavicencio,Calzado urbano para mujer,257100.0,300,2700000.0,445707.29,In-store
Decathlon,1185732,2024-06-05,Andina,Cundinamarca,Zipaquirá,Calzado urbano para mujer,257100.0,300,2700000.0,678005.02,In-store
Nike Store,1185732,2023-06-29,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,385700.0,300,4050000.0,689854.84,Online
Éxito,1185732,2023-10-01,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para hombre,437100.0,300,4590000.0,772651.85,Online
Plaza Sport,1185732,2023-09-21,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,445700.0,300,4680000.0,845512.66,Online
Éxito,1185732,2023-09-24,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,514300.0,299,5364060.0,1332026.35,Online
Plaza Sport,1185732,2024-02-08,Caribe,La Guajira,Riohacha,Calzado urbano para hombre,514300.0,299,5364060.0,1178087.7,Online
Éxito,1197831,2024-02-07,Caribe,Atlántico,Soledad,Ropa de mujer,360000.0,298,3729768.0,757731.37,Outlet
Éxito,1197831,2024-03-26,Caribe,Atlántico,Soledad,Calzado urbano para mujer,325700.0,298,3374552.0,698230.26,Outlet
Plaza Sport,1128299,2024-12-19,Pacífica,Chocó,Quibdó,Calzado urbano para hombre,514300.0,298,5328240.0,879581.61,Outlet
Éxito,1197831,2024-01-29,Caribe,Atlántico,Soledad,Calzado urbano para mujer,334300.0,297,3440151.0,566470.76,Online
Nike Store,1185732,2023-08-04,Andina,Cundinamarca,Bogotá D.C.,Calzado deportivo para mujer,325700.0,297,3351942.0,596930.33,Outlet
Falabella,1189833,2024-09-15,Andina,Antioquia,Bello,Calzado urbano para hombre,308600.0,297,3175524.0,782547.85,Outlet
Éxito,1128299,2024-12-12,Caribe,Atlántico,Barranquilla,Calzado urbano para hombre,582900.0,297,5998212.0,1307014.64,Outlet
